TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,TotalCourses,TotalEnrollments,AverageCourseRating,MinimumCourseRating,MaximumCourseRating,CourseRatingStd,RatingConsistencyIndex,RatingConsistencyPercent,PerformanceTier,TeacherRatingNorm,CourseRatingNorm,EnrollmentNorm,ExperienceNorm,PerformanceScore
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,15,36,2.8536111111111113,1.28,4.94,1.3136278072091105,0.7372744385581779,73.72744385581778,Low,0.5586734693877551,0.2525780344116635,0.004279131007241606,0.21739130434782608,32.1837754714832
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,9,68,3.708823529411765,1.96,4.66,0.9293883872544765,0.8141223225491048,81.41223225491048,Medium,0.7882653061224489,0.8827156016537319,0.014812376563528639,0.34782608695652173,61.78658869534571
TC00003,Amber Torres,32,Male,Design,4,1.56,15,59,3.107627118644068,1.28,4.74,1.059548275548319,0.7880903448903362,78.80903448903362,Low,0.13010204081632654,0.4397420951784805,0.01184990125082291,0.13043478260869565,19.93769033911089
TC00004,Kristi Scott,34,Female,Machine Learning,9,4.39,8,47,2.54936170212766,1.13,4.73,1.3783203455739623,0.7243359308852075,72.43359308852075,Medium,0.8520408163265307,0.0284010015376277,0.007899934167215274,0.34782608695652173,38.569922252099595
TC00005,David Williams,34,Male,Finance,2,3.11,18,47,2.7897872340425534,1.28,4.74,1.2374948210022538,0.7525010357995492,75.25010357995492,Low,0.5255102040816326,0.2055513288034212,0.007899934167215274,0.043478260869565216,27.7797293194079
TC00006,Rebecca Webb,49,Male,Cybersecurity,14,3.36,15,48,3.2183333333333333,1.3,4.94,1.3014285658678075,0.7397142868264385,73.97142868264385,Low,0.5892857142857142,0.5213126422262988,0.008229098090849245,0.5652173913043479,45.027563713077996
TC00007,Angela Beard,28,Female,Machine Learning,6,4.36,9,49,2.5108163265306125,1.13,4.73,1.3256159523260214,0.7348768095347957,73.48768095347957,Medium,0.8443877551020409,0.0,0.008558262014483214,0.21739130434782608,36.12058848784957
TC00008,Steven Walker,41,Male,Data Science,15,3.54,9,133,3.267218045112782,1.96,3.74,0.5061595648868572,0.8987680870226286,89.87680870226285,Low,0.6352040816326532,0.5573318728839181,0.036208031599736665,0.6086956521739131,48.93923660555753
TC00009,Alexander Tucker,49,Female,Project Management,2,2.22,15,58,3.1743103448275862,1.13,4.84,1.432166941250358,0.7135666117499284,71.35666117499284,Low,0.29846938775510207,0.4888756262451013,0.011520737327188942,0.043478260869565216,27.27024165279655
TC00010,Frances Sanchez,29,Male,Data Science,1,2.18,17,81,3.3350617283950617,1.13,4.79,0.7046082660897297,0.8590783467820541,85.9078346782054,Low,0.288265306122449,0.60732045188653,0.019091507570770244,0.0,30.132055952909266
TC00011,Carol Edwards,37,Female,Artificial Intelligence,8,3.55,9,46,2.9563043478260873,1.2,4.55,0.9806989767975631,0.8038602046404874,80.38602046404874,Low,0.6377551020408163,0.3282444594670575,0.007570770243581303,0.30434782608695654,38.552431531385565
TC00012,Christopher Nelson,48,Female,Cybersecurity,2,3.85,9,26,3.428846153846154,1.35,4.94,1.22475573702866,0.755048852594268,75.5048852594268,Low,0.7142857142857144,0.676422687114095,0.0009874917709019092,0.043478260869565216,49.31864162896511
TC00013,Brian Carrillo,35,Female,Digital Marketing,6,3.42,14,23,3.4460869565217394,1.3,4.72,1.1163077904430985,0.7767384419113803,77.67384419113803,Low,0.6045918367346939,0.6891260543978408,0.0,0.21739130434782608,47.03136814480124
TC00014,Susan Randolph,49,Male,Project Management,3,2.45,13,57,3.0985964912280703,1.13,4.84,1.5594269077779035,0.6881146184444193,68.81146184444194,Low,0.35714285714285726,0.4330881487801186,0.01119157340355497,0.08695652173913043,28.371755434580255
TC00015,John Armstrong,43,Male,Data Science,7,3.07,20,61,3.273606557377049,1.28,4.79,0.8533190743344198,0.829336185133116,82.9336185133116,Low,0.5153061224489797,0.5620390561407986,0.01250822909809085,0.26086956521739135,40.332276816318874
TC00016,David Carlson,33,Male,Data Science,1,2.92,17,108,3.286388888888889,1.13,4.79,0.740245549476827,0.8519508901046347,85.19508901046346,Low,0.47704081632653067,0.5714573329457089,0.027978933508887426,0.0,36.784931311610244
TC00017,Brian Perez,36,Male,Digital Marketing,4,2.33,17,51,3.5337254901960784,1.13,4.79,1.129907891439499,0.7740184217121002,77.40184217121002,Low,0.32653061224489804,0.7536998739828551,0.009216589861751154,0.13043478260869565,37.16090033260355
TC00018,Kari Pierce,47,Female,Project Management,11,4.28,8,93,3.246236559139785,1.23,4.84,1.511074275199813,0.6977851449600374,69.77851449600374,Medium,0.8239795918367347,0.5418722955377198,0.02304147465437788,0.4347826086956522,54.02400811964506
TC00019,Tommy Haynes,35,Male,Digital Marketing,8,3.4,17,35,3.3271428571428574,2.14,4.79,0.9948176641344632,0.8010364671731074,80.10364671731074,Low,0.5994897959183674,0.6014856696039215,0.003949967083607636,0.30434782608695654,45.14663952739406
TC00020,Tara Reynolds,44,Female,Digital Marketing,10,3.23,14,25,3.8680000000000003,1.52,4.79,1.0346778886848473,0.7930644222630305,79.30644222630305,Low,0.556122448979592,1.0,0.0006583278472679392,0.3913043478260869,56.1711079943899
TC00021,Adam Holmes,34,Female,Machine Learning,2,3.99,9,51,2.8249019607843135,1.13,4.73,1.4179173072489377,0.7164165385502125,71.64165385502125,Low,0.7500000000000002,0.23142455983927324,0.009216589861751154,0.043478260869565216,37.56185120110887
TC00022,John Holmes,33,Male,Digital Marketing,3,2.5,16,42,3.616190476190476,1.13,4.74,1.1334341350266763,0.7733131729946647,77.33131729946648,Low,0.36989795918367346,0.8144617204495099,0.006254114549045424,0.08695652173913043,40.22441748920445
TC00023,Robert Mack,32,Male,Finance,4,2.99,18,95,3.2365263157894733,1.13,4.79,1.021307847832764,0.7957384304334472,79.57384304334471,Low,0.4948979591836736,0.5347175945638352,0.023699802501645818,0.13043478260869565,37.61579008038186
TC00024,Michael Kim,40,Male,Digital Marketing,6,4.22,8,57,3.5828070175438596,2.0,4.66,0.8840930671475975,0.8231813865704805,82.31813865704805,Medium,0.8086734693877551,0.78986412227676,0.01119157340355497,0.21739130434782608,58.44060695536236
TC00025,Justin Pham,29,Male,Web Development,4,2.17,15,48,2.8814583333333332,1.28,4.74,1.1641470068449686,0.7671705986310062,76.71705986310062,Low,0.28571428571428575,0.27309642316521776,0.008229098090849245,0.13043478260869565,21.090393911431907
TC00026,Patrick Wilson,29,Male,Web Development,1,2.83,15,51,3.2254901960784315,1.13,4.74,1.1033445766857972,0.7793310846628405,77.93310846628405,Low,0.4540816326530613,0.5265859614424095,0.009216589861751154,0.0,34.14517594662976
TC00027,Laurie Michael,44,Female,Artificial Intelligence,3,1.55,13,133,3.1497744360902256,1.13,4.79,1.1369033341316748,0.772619333173665,77.2619333173665,Low,0.1275510204081633,0.4707970793122169,0.036208031599736665,0.08695652173913043,20.819679045079077
TC00028,Timothy Bailey,27,Female,Business,3,1.06,16,161,2.7651552795031056,1.13,4.79,0.7497867243340454,0.850042655133191,85.0042655133191,Low,0.002551020408163296,0.18740201340789975,0.04542462146148782,0.08695652173913043,7.502158865184586
TC00029,David Webb,50,Male,Artificial Intelligence,2,3.1,18,66,3.2648484848484847,1.2,4.79,1.0636876962490047,0.787262460750199,78.7262460750199,Low,0.5229591836734695,0.5555859336196765,0.014154048716260699,0.043478260869565216,38.303808938549935
TC00030,David Aguirre,50,Male,Artificial Intelligence,6,3.01,17,54,3.235185185185185,1.2,4.79,1.1022511112397255,0.7795497777520549,77.95497777520549,Low,0.49999999999999994,0.5337294227853908,0.010204081632653062,0.21739130434782608,38.389877359693045
TC00031,Brenda Mercer,47,Female,Cybersecurity,1,1.86,15,164,3.0733536585365857,1.28,4.94,1.3105121358489562,0.7378975728302087,73.78975728302088,Low,0.20663265306122452,0.4144887261780501,0.04641211323238972,0.0,21.62821017243828
TC00032,James Holder,44,Male,Cybersecurity,1,3.11,15,36,3.1794444444444445,1.28,4.94,1.4419331160324707,0.7116133767935059,71.1613376793506,Low,0.5255102040816326,0.4926585332437785,0.004279131007241606,0.0,35.885746780723494
TC00033,Wesley Garcia,39,Female,Design,12,4.04,8,137,3.2479562043795625,1.52,4.51,1.1197269485210715,0.7760546102957857,77.60546102957858,Medium,0.7627551020408163,0.5431393644491678,0.037524687294272545,0.4782608695652174,52.337487456645306
TC00034,Brandon Dawson,38,Male,Web Development,3,2.79,15,51,3.025686274509804,1.13,4.79,1.2808548003610103,0.7438290399277979,74.38290399277979,Low,0.4438775510204082,0.3793664468885205,0.009216589861751154,0.08695652173913043,30.18999246209827
TC00035,Sharon Jackson,27,Male,Digital Marketing,5,3.13,14,38,3.7728947368421055,1.3,4.79,0.9190356517354153,0.8161928696529169,81.61928696529169,Low,0.5306122448979591,0.9299245452056053,0.004937458854509546,0.17391304347826086,50.96010576395932
TC00036,Brenda Mclean,28,Male,Digital Marketing,4,1.39,15,46,3.3821739130434785,1.13,4.79,1.1819041379504296,0.7636191724099141,76.3619172409914,Low,0.086734693877551,0.6420336492004814,0.007570770243581303,0.13043478260869565,24.18616046207507
TC00037,Debra Escobar,47,Male,Finance,8,4.39,10,117,3.0544444444444445,1.59,4.14,0.9774407508672525,0.8045118498265496,80.45118498265495,Medium,0.8520408163265307,0.40055604008567824,0.030941408821593155,0.30434782608695654,49.760620292933005
TC00038,Jeffrey Clark,43,Male,Digital Marketing,1,2.38,18,70,3.484,1.13,4.79,1.1287320062924526,0.7742535987415095,77.42535987415094,Low,0.33928571428571425,0.717061141018315,0.015470704410796576,0.0,35.392676890193954
TC00039,Elizabeth Bishop,34,Male,Finance,7,3.31,16,41,3.388292682926829,1.52,4.79,0.9700255214143189,0.8059948957171362,80.59948957171362,Low,0.5765306122448981,0.6465420808910198,0.005924950625411454,0.26086956521739135,45.184681581208665
TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,55,3025,3.1479966942148763,1.2,4.94,1.1422634085155274,0.7715473182968945,77.15473182968945,High,0.9005102040816328,0.4694872036409268,0.988150098749177,1.0,79.86802624747665
TC00041,Kevin Simpson,46,Male,Artificial Intelligence,7,3.55,7,44,3.1793181818181817,1.2,4.55,0.9289864387506761,0.8142027122498647,81.42027122498648,Low,0.6377551020408163,0.49256550042240654,0.0069124423963133645,0.26086956521739135,43.034113594405035
TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,55,3061,3.079251878471088,1.13,4.84,1.1721133902521543,0.7655773219495692,76.55773219495691,High,1.0,0.41883465226734984,0.9999999999999999,0.8695652173913043,81.26069174193353
TC00043,John Williams,30,Female,Project Management,1,1.05,14,68,2.960735294117647,1.13,4.84,1.4401381734874377,0.7119723653025125,71.19723653025125,Low,0.0,0.3315092690710757,0.014812376563528639,0.0,10.241525603402843
TC00044,Barbara Maynard,27,Male,Finance,4,2.61,14,77,3.2022077922077923,1.28,4.79,1.069382044105039,0.7861235911789922,78.61235911789922,Low,0.39795918367346933,0.5094310218968121,0.017774851876234364,0.13043478260869565,32.86114286745478
